sentiment,message,tweetid
-1,@JWilla_ @SethMacFarlane if global warming is real why change the name to climate change? The weather changes naturally doesn't it?,68653
-1,Hope they get a chance to skip climate change for good. https://t.co/mv7JDUohie,655205
-1,RT @PrisonPlanet: A bunch of Oxford elitists want to tax the food of poor people because 'climate change'. How about fuck off instead? httpÃ¢â‚¬Â¦,625319
-1,RT @DineshDSouza: THOUGHT FOR THE DAY: If gender is a social construct--which is to say 'all in your head'-- maybe climate change is too,408538
-1,RT @ClimateTruthNow: George Clooney claims that man-made global warming must exist because liberals agree that it exists: https://t.co/5KBJÃ¢â‚¬Â¦,259378
-1,@KellyHinesTW all of us cold people from Tulsa and Mich will cool down the place. So much for global warming. #miamibeachbowl,476576
-1,RT @BIKERDAVE100: Question Al Gore on climate change and he'll call you a 'denier' | Climate Change Dispatch https://t.co/9ckMF56s32 via @c…,517732
-1,Al Gore is a fraud and refuses to debate global warming https://t.co/P9R5aRLcmW,561503
-1,RT @USFreedomArmy: When will people understand this about globalism &amp; not global warming. Enlist ----&gt; https://t.co/oSPeY48nOh. Act!! https…,787567
-1,Snow in April? Yeah global warming is real,896213
-1,"RT @realDonaldTrump: It's freezing outside, where the hell is 'global warming'??",232687
-1,RT @GeneraLeeIntuit: @dcexaminer Weathermen can't get tomorrow's climate change right but based on the same data they predict the climate 2…,608734
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,58851
-1,"RT @BrentBozell: If you rewrite history to fit the climate change agenda, you're not a journalist. You're a propagandist. https://t.co/T6s7…",119415
-1,"RT @hrkbenowen: The HORROR! Chelsea Clinton blames diabetes on climate change, gets fact-checked HARD https://t.co/e2Ue5nVHoa",861443
-1,RT @TwitchyTeam: New York Times 'slammed' with cancellations as punishment for climate change heresy https://t.co/uritRij1d6,478299
-1,RT @realDonaldTrump: The global warming we should be worried about is the global warming caused by NUCLEAR WEAPONS in the hands of crazy orÃ¢â‚¬Â¦,928037
-1,RT @RealJamesWoods: Do penises cause climate change? Discuss | The Spectator // I need not comment on this one... #liberals https://t.co/oc…,33000
-1,RT @Carbongate: Climate Change - the REAL inconvenient truth. Scientist claims global warming is NATURAL https://t.co/vYIIcERVUE,560377
-1,"@EladHutch So climate change is science, the colors of the rainbow (and abortion) are about choice, not science ��

#LiberalLogic",794039
-1,"@TheEconomist @WMO don't tell the global warming people this! Nature at work on its own. Wow, what a concept! Yes,CO2 had left a print",421863
-1,"RT @sean_spicier: Hope the President's new climate change regs don't cause California to fall into this Pacific this weekend, I have plans",338893
-1,"RT @ReaganTMan: Media falsely spins Trump's NYT climate comments - #Trump cited Climategate, restated skepticism of 'global warming' https:…",357243
-1,RT @NickDSmith74: Why are climate change fanatics so frightened of Lord Lawson.?,424898
-1,freezing -4c tonight.. whens global warming coming?? hmm,477360
-1,#QandA No point asking Liberal about anything to do with climate change or energy policy. They'll just tell you coal is cool.,519717
-1,@CNN That damned global warming with all that snow and ice,898317
-1,"#Snow in #Egypt for the first time in 112 years😳😳😳
That's  global warming for ya🙄🙄 https://t.co/TXMUiR6No3",352544
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,289859
-1,"RT @Cernovich: Same 'experts' who said Hillary would win claim 'climate change' is real. LOL! Go away, morons, you know nothing and you losÃ¢â‚¬Â¦",874926
-1,@PremierBradWall I think @JustinTrudeau is buying on the gullibility of Canadians regarding climate change.,692844
-1,"RT @ELDOBLEEM: Any scientist out there Still want to defend climate change? Both hoax inventors have run...
��ok lets focus on pic…",321689
-1,"@Independent So climate change rapes women, WTF are you people insane. No criminals do that, the media today has some serious mental issues",65671
-1,"Finally, Paris climate change agreement designed by crooks- #Trump is not buying this crap https://t.co/vQc8E2Lt6P",936773
-1,RT @TomiLahren: How to anger a Conservative: hurt American jobs. How to anger a Liberal: insult the climate change crusade. https://t.co/VY…,576494
-1,"RT @nia4_trump: #ClimateChange For $15 TRILLION Al Gore will save the earth. From what tho, global warming, ice age or the fatties?…",241108
-1,@JohnKerry climate change is bullshit. Cofounder of Greenpeace even said he was wrong. It's the suns activity you fÃ¢â‚¬Â¦ https://t.co/3W9VUehABZ,192772
-1,"RT @samdastyari: Hey @PaulineHansonOz, how good is it that climate change isn't real? Imagine how hot it would be otherwise.",121139
-1,@GOPChairwoman @GOP @POTUS It was a good decision. It wasn't even about climate change. It was about economics and loss for Americans.,293087
-1,@Alyssa_Milano Funding climate change is a scam.,741920
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,232967
-1,"@RonColeman didn't even read it, going to assume it's about global warming
climate alarmists are anti-science, it has become a religion",598854
-1,RT @ClimateDepot: New report about Antarctica is horrible news for global warming alarmists – TheBlaze - https://t.co/vAX4A7dRhl,432857
-1,"Whistleblower admits scientists manipulated data, making global warming seem worse to help Obama  https://t.co/87P2MchctX",545909
-1,RT @CattHarmony: I'd rather #MarchforBabies than march for fake science of climate change. https://t.co/5kIgTGePgY,189585
-1,RT @sean_spicier: The nice part about a nuclear arms race in the Middle East is we won't be around to really experience climate change's wr…,342419
-1,@seanhannity probably climate change or maybe she'll blame women for not voting for the candidate with a vagina,748260
-1,"Or 3) become radical low tax, tiny state advocates rallying against state issued healthcare and the scam that is the climate change industry",869105
-1,"@SenSanders climate change is just a normal part of this planets process, dont make it anything more, the people are not fooled by the lies",300133
-1,RT @thelanarchist: Geoengineering programs jets spraying arosols is making climate change.... https://t.co/ThVk08SHKI,69494
-1,"RT @iluvspringtime: Once Trump refuses to send (lots of money)Grants for research, watch how quickly the climate change fad will disappÃ¢â‚¬Â¦",392365
-1,"800,000 years of climate change, in 3 minutes [ the co2 has no proof and is MTCO2 in debt https://t.co/7BBD09PJJd",920742
-1,@Morning_Joe @JoeNBC Fake news is when you say man is causing global warming and $15 min wage doesn't cost jobs. You libs are clueless!!,708437
-1,RT @PrisonPlanet: A bunch of Oxford elitists want to tax the food of poor people because 'climate change'. How about fuck off instead? httpÃ¢â‚¬Â¦,19105
-1,"climate change is natural, not man made. bring industrial jobs back to america!",332005
-1,"#lies Federal scientist cooked climate change books ahead of Obama presentation, whistle blower charges - Fox News  https://t.co/TQCJB63aGS",14843
-1,Didn't global warming alarmist warn about more potent hurricanes due to it?,980758
-1,RT @PrisonPlanet: Anyone lecturing me about the 'science' behind global warming who simultaneously thinks there are more than two genders c…,8844
-1,RT @Heritage: President Trump must resist pressure from foreign leaders to cave in on global warming. https://t.co/3SpvjhCpu7,424879
-1,RT @JoeFreedomLove: Blog: Science fights back against the global warming fraud https://t.co/djIQCdm5al,852497
-1,@nowthisnews pure fantasy! If global warming was real why was NOAA caught altering temps?? https://t.co/Vb3oFbr06E,740533
-1,"This is nothing more than a surrender to vestige interests 
In times past climate change happened over centuries noÃ¢â‚¬Â¦ https://t.co/jWgmrXmjgb",819188
-1,@rambogooner The people saying “don’t look at the sun” are the same people who say climate change is real — and we all know that’s a lie.,288678
-1,"RT @TheFoundingSon: NOAA scientists manipulated temperature data to make global warming seem worse

Who's surprised? Not me
https://t.co/Rj…",905959
-1,RT @GeorgiaLogCabin: NOAA's global warming data manipulation https://t.co/flujjaaWUR #Economy #National,416605
-1,"It's really not about science at all, but religious fundamentalism of the climate change cult. With a sprinkling of… https://t.co/vV8L1zTsGq",126210
-1,"RT @MarkACollett: The biggest threat to the environment isn't global warming, it's overpopulation that is fuelled by liberal aid to the thi…",22064
-1,RT @davidicke: Founder of Weather Channel blasts total fraud of climate change: Science fraud run by the Left…,221264
-1,@ABC Ya but all the experts say it's not climate change ass hat fake news it's a natural occurrence for thousands o… https://t.co/kvDP3USb8m,841625
-1,"RT @JonoZalay: Here's a pic of arctic ice proving climate change...
Not falling for it.
Hillary is sex trafficking out of a pizza parlor.…",734432
-1,RT @JunkScience: How 'climate scientists' decide to attribute weather events to global warming. https://t.co/PYKVUn6plz,344687
-1,".@TEN_GOP: 7 more dead in London because of climate change. Oh wait, nope, it's Islamic terrorism again.
#LondonAttacks https://t.co/PUqc...",619109
-1,Climate alarmist agency says common myth about global warming is not true https://t.co/cgAI62HbXe via @theblaze,680870
-1,"RT @AviWoolf: When the leader of the free world claims climate change caused the Syrian Civil War, you're in cukoo land. Period. https://t.Ã¢â‚¬Â¦",117209
-1,"RT @_donaldson: #StandUpForScience, and forget the fact we've been changing our minds on global warming since 1855. https://t.co/E6pu55DTND",838708
-1,RT @FoxNews: .@ericbolling: 'It's very profitable to be in the global warming hysteria business.' #CashinIn https://t.co/k0XK3FhRIW,718249
-1,@Hairtrigga @donlemon @CNNTonight big money in MAN MADE climate change. Never said rampant pollution was ok. I am an avid outdoorsman,885589
-1,"RT @ChuckNellis: The climate change SCAM, revealed! https://t.co/guGT9rmyP7",805056
-1,"Pope is argentine Jesuit liberation theology socialist first,,climate change more important issue than slaughter of… https://t.co/qoCYtDg8eL",282020
-1,"@Eugene_V_Tooms @RexTilllerson Global cooling, global warming, climate change. W/e you want snowflake.",333852
-1,"RT @CraigRBrittain: By not acknowledging that the reports have said that climate change is 300 years away, you're the one denying clima… ",908271
-1,"@Jim_Gilman @JoelQuatro84 @mistercarter7 @uptownlinda @washingtonpost ...finally admit it. Yes, global warming is f… https://t.co/3IkIKdOP7u",371400
-1,RT @TomiLahren: Been sitting here waiting for a delayed flight watching CNN for 5hrs. In that time they've covered Russia &amp; climate change.…,999537
-1,RT @ScientistTrump: It's 30º (really cold) in New York  today - tell the so-called 'scientists' that we want global warming right now!…,292116
-1,When will they differentiate between natural climate change which has been occurring forever &amp; man made climate cha… https://t.co/0lgPP7gvpU,130503
-1,@DisavowTrump16 @RussWhitworth Don't think I'll retweet.  Have nothing in common with global warming fanatics.,783641
-1,*Shamelessly Manipulated*: The scandal of fiddled global warming data https://t.co/YerkoubZAh #ClimateScam #GreenScam #TeaParty #tcot #PJNet,702998
-1,RT @SteveSGoddard: Natural climate change produces 10C swings in Antarctic temperature. Man-made climate change produces 0C swings.…,530990
-1,RT @Uniocracy: To combat 'climate change'? You're having a f***ing laugh! https://t.co/AdqxKdGMZE #OpChemtrails,278071
-1,"@efbiltg climate change is a chinese hoax, man",547368
-1,@buterastrology global warming is a myth and the holocaust is fake and never happened open your eyes to the truth people wake up,972435
-1,"RT @Carbongate: Physicist – CO2 does not cause climate change, it RESPONDS to it.
https://t.co/lySZb7ydcP https://t.co/79mxoE8w6m",697947
-1,"@hankgreen not really, but climate change is blamed for the fall of the Indus Valley civ. thousands of years ago..not caused by humans.",506256
-1,"We all pray that Ivanka will stopping pushing the global warming scam on her father. 
@realDonaldTrump https://t.co/6cvtw0OulO",128989
-1,"The only climate change we ALL need to be concerned with is when we meet face 2 face with Christ.
Amos 4:12 -'...pr… https://t.co/Ogg4QcIc3M",5187
-1,RT @steph93065: Libs are so mad that we don't have to buy into their climate change cult nonsense anymore.,910367
-1,@NewDay @ChrisCuomo 7 out of ten Americans don't know they are trying to push 'global warming' to implement a CARBO… https://t.co/3vGUHrBDS7,872031
-1,"RT @Tombx7M: Can't wait for that global warming thing to kick in.
 #blizzard2017 https://t.co/W2HmCujXq3",146590
-1,@MuscleMilk @VetsandPlayers i like how this was called global warming about 2 years ago,584257
-1,"RT @Uniocracy: The UN blames you for climate change, meanwhile ignores this 
https://t.co/aJ3m5NHyTE .#OpChemtrails",555449
-1,It's November 5th and I just played a round of golf... I love global warming!,445026
-1,"RT @LouDobbs: Federal scientist cooked climate change books, whistle blower charges via the @FoxNews App #MAGA #TrumpTrain #Dobbs https://t…",567520
-1,"RT @BigStick2013: Breaking 
Whistle Blower: Federal scientist cooked climate change books ahead of Obama presentation https://t.co/7Y5YfIPX…",407144
-1,RT @goburch: I just aint believing all that global warming bunk. https://t.co/KlI1Lvh6hL,477516
-1,RT @PrisonPlanet: The so-called “Consensus” on global warming is a massive lie. https://t.co/2u3DhOIWeN,691382
-1,"Sorry pop-science celebrities, but if you EVER referred to someone as a denier then your climate change thoughts aren't worth listening to.",355153
-1,Further evidence global warming is a scam. @BBCNews @bbctrust @metoffice @guardianeco https://t.co/XEimCIba9d,61032
-1,"RT @LouDobbs: Left Anti-Science, Pro-Fraud: World leaders duped by manipulated global warming data https://t.co/bTKkBBulEv via @MailOnline…",985644
-1,Too bad this normally intelligent man believes that the world is ending due to global warming which is the fault ofÃ¢â‚¬Â¦ https://t.co/zOMadhWQ6J,198488
-1,@realDonaldTrump promised for my vote that climate change was junk science. Now he's talking to Al Gore? OH HELL NO!! Not what I voted for!,569360
-1,"RT @kwilli1046: Attention all liberals, Macron offers you “refugee” status. Please move and leave USA ASAP over climate change! https://t.…",858291
-1,RT @tan123: 'Apple could not resist pushing the global warming religion as part of its “Earth Day” political blitz on iOS users' https://t.…,382879
-1,"global warming is a myth
innoculations cause autism
george bush was a genius",609277
-1,RT @kcjw33: Dr. Roger Pielke Jr.: ‘The science ain’t there’ to link extreme weather to ‘climate change’ https://t.co/7Lz2QyM32s #feedly,814917
-1,@AbrahamEngel1 @jules_su @realDonaldTrump Me too. You know global warming is a hoax but with all these snowflakes m… https://t.co/ZCYVq9i2sq,957668
-1,"RT @railboy63: 32 Inches of global warming on I-80 between Cheyenne, Wyo. And Laramie, Wyo. This week....@algore unavailable for c…",254184
-1,RT @theblaze: Rick Perry urges more conversation about the unsettled science of climate change https://t.co/X8gvF763oz https://t.co/eFSUom1…,859674
-1,"@ANTITRUMPMVMT climate change is NOT about climate, about CONTROL, pls understand NOTHING is what it appears, grow… https://t.co/QrrBlAOvmS",968889
-1,@HktkPlanet Orig.2UK sci.tht Gore ranw/thr data2 invent global warming(CC)fake news hve since admitted the LIED&amp;fak… https://t.co/yI4Uq2eMqd,436987
-1,"RT @Rick_Stuart07: Concussion is like climate change

It isn't real

Stop listening to so called 'doctors'.

If they have never played how…",220049
-1,"#ScienceCelebs think humans cause global warming. Next the #libtards will say we cause animal extinctions, too. #UnicornsAreReal #Snowflakes",55575
-1,@CNNPolitics it use to be global warming so now it is change = bs,852393
-1,"RT @LeahRBoss: The left's meltdown is causing global warming. ��

 #WhyWeMustImpeachTrumpIn7Words",324697
-1,"If the fukn libs would close their traps, there would not be global warming - all they spew is hot air and CO2
https://t.co/7EyBH4trYC",682325
-1,RT @JunkScience: NOAA is adjusting temperature data to match global warming theory. https://t.co/f0dAG3m2od… https://t.co/Ci51An9iNg,102017
-1,"RT @charliekirk11: I am not concerned about global warming 

I am however terrified of global government",451699
-1,"Notice they changed it to climate change. Look at the graphs they produce, 6th grade math from the 70's ciphers the… https://t.co/L8m2377UIA",197726
-1,@_Makada_ Warned them about that 'global warming' snow storm in late April. ��������,618340
-1,@MikeHudema Anyone who thinks those three towns' coastlines are eroding due to climate change needs to repeat 3rd g… https://t.co/CZO8SY0rXO,957428
-1,RT @TrumpNewYorker: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiv…,895545
-1,"RT @Carbongate: Physicist - CO2 does not cause climate change, it RESPONDS to it - Video https://t.co/lySZb7ydcP",162018
-1,"RT @licialopez16: good news: our next president doesn't believe in climate change!! at least we'll have a good economy though, earth ain'tÃ¢â‚¬Â¦",50397
-1,"We just had an election about 'global warming.' 
Fake Science lost bigly.
@beaglehaus @BurkeanBeer @kurteichenwald @cspanwj #PresidentTrump",945393
-1,RT @JessieJaneDuff: These Obama people just won't go away: McCarthy drove Obama's climate change agenda and now plans to keep tabs on T…,252854
-1,@natemckay20 my name Nate climate change isn't real XD,565584
-1,UN official actually ADMITS that 'global warming' is a scam designed to 'change world's econom… https://t.co/pEgoqqz3ni via @wordpressdotcom,389443
-1,RT @davidicke: University scientists claim left-wing violence is caused by global warming… 'the planet made them do it'…,718471
-1,RT @CommonSense1212: There is no evidence of man made climate change. Warm days at the beach are always appreciated. https://t.co/aEIL8CLOgb,319052
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by 2008 due to climate change are concerned about 'fake…,767794
-1,"RT @LeahRBoss: North Korea is what happens after 8 years of fighting over bathrooms, and whether or not cow farts cause global warming.",824185
-1,RT @kwilli1046: Al Gore admits Paris Accord won't solve the issue of 'climate change.' https://t.co/5ULwaCQjpr,45510
-1,"Tree-huggin' hippie! Man walking BAREFOOT across America to protest climate change, 'save the earth'… https://t.co/TS5f2lfkEY",483441
-1,@MeosoFunny Oh yeah...Al Gore the scientific proponent of 'global warming'!!!!!!!!������������������������������������������������������������������������������,699676
-1,Hello @POTUS have you stopped spending money on climate change now? #Day1Promises #Obamacare #MAGA https://t.co/KN270n5ptT,782395
-1,RT @AFreespeechzone: Merkley co-sponsors aggressive climate change bill @SenJeffMerkley #BullShit #FakeScience https://t.co/POARqlkWhB http…,400566
-1,RT @ClimateDepot: Spencer: 'What a powerful theory..even more amazing is climate change can be averted by just increasing your taxes' https…,163775
-1,"‘Bill Nye, #Eugenics Guy’ has a solution for climate change: Netflix and govt. regulated chill #Science https://t.co/sxIAYpS9wn",783254
-1,RT @sean_spicier: The President's plan to fight climate change is just about the most comprehensive no point plan ever conceived,493959
-1,@richardohughes @MaryCass95 @hidenhand1 @OpChemtrails I believe 'climate change' is GeoEngineering.. Dinosaurs? Who… https://t.co/V357xlhpet,915643
-1,RT @chuckwoolery: Mayor of disappearing island faces Al Gore and shuts down global warming claim https://t.co/SqfyOnUnlr via @theblaze,464914
-1,RT @BreitbartNews: “We who voted for you consider stopping this climate change madness one of your key promises.” https://t.co/T5SwawFtn6,279551
-1,So says global warming alarmists are unpatriotic racistsi urge him to look at.,985831
-1,RT @ScottAdamsSays: Did you know the consensus of experts says climate change has been good for the planet and it will get even better…,530783
-1,"RT @LadyDurrant: Waste of our money! There has been little benefit from a £2 billion foreign aid programme to tackle climate change.
https:…",423837
-1,"RT @climateviewer: Rockets, Harry Wexler, and REAL climate change 1963
Punching holes in the upper atmosphere causes chemical... https://t.…",768689
-1,RT @KaptKan1: The Russians are making the climate change!,756968
-1,"RT @palmtile: Climate change and global warming is totally natural,stop wasting our money on a trying to stop it�� it's impossible https://t…",954789
-1,@realDonaldTrump Obama claims eating steaks contributes to climate change. https://t.co/5KvPdbYlzN,289982
-1,RT @Liz_Wheeler: I wonder why climate change criers on the left don't protest #TaxDay? 300K trees are cut down yearly to produce paper for…,785074
-1,"This dumbassÃ°Å¸â€˜â€¡Ã°Å¸ï†Â» thinks that climate change is the most important thing to protect in CA. How about sanctuary cities,Ã¢â‚¬Â¦ https://t.co/3qIuJgEh2q",244483
-1,"Finally, Paris climate change agreement designed by crooks- #Trump is not buying this crap https://t.co/zO6EzRL2x4",864799
-1,@weatherchannel And miss me with that fake ass global warming.,714969
-1,"Trump's environment chief says CO2 not main cause of global warming https://t.co/zjzD5q1cDX

Thank the Lord for this flash of reality",801002
-1,RT @JohnStossel: TrumpÃ¢â‚¬â„¢s election wonÃ¢â‚¬â„¢t stop deceitful climate change propaganda: https://t.co/KDfK3N97AD,48257
-1,@annehelen @priyankaboghani @DougieP2016 @ezra_rosenthal Anna cant tell if ur serious but global warming was proven 2 be a hoax in 2009.Ã°Å¸Å’ï†Ã°Å¸â€Â¥,428466
-1,RT @SteveSGoddard: Arctic sea ice extent is at a four year high. It is time for Republicans to stop supporting the global warming scam…,919766
-1,@andrewzimmern @SarahKSilverman No connection between climate change and hurricanes,824356
-1,"Even with all this prof proving your Wong, you snowcucks still think global warming is real. #sad https://t.co/OBOCDtxAVU",477033
-1,RT @PrisonPlanet: Is there any kind of weather that global warming isn't responsible for? How convenient. https://t.co/kp0VHOPhXj,892222
-1,RT @MorattiJ: @cathmckenna Am so done with ridiculous language from politicians like 'climate change' &amp; 'carbon taxes' while they…,284570
-1,@JunkScience the fraud &amp; cult of 'climate change' is the scariest thing going today...real 'Stepford Wife/'Children of the Corn' type stuff,754069
-1,"As with all trendy pseudoscience, the global warming hoax will likely go the way of spiritualism https://t.co/MeG4WdwWwG",979331
-1,George Clooney claims that man-made global warming must exist because liberals agree that it exists: https://t.co/5KBJRs1G6m #climate,763659
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,595486
-1,These global warming crackpots have lost it! Join us &amp; enlist at https://t.co/GjZHk91m2E. Patriot central awaits. https://t.co/qGJpCL64UT,410706
-1,"@BobMurphyEcon Oh no, a place where no one lives is affected by climate change..everyone must now pay for carbon usÃ¢â‚¬Â¦ https://t.co/kBzadIJSgL",56543
-1,RT @AlexEpstein: 97% of scientists do not agree that climate change will be catastrophic or with Bill Ritter’s policy solutions. https://t.…,94023
-1,"Warmist review: Gore is a climate change James Bond in urgent, exhilarating ‘Inconvenient Sequel’ https://t.co/6YVPlq9m1A #Eco #Green",292937
-1,Nancy Pelosi: Donald Trump 'dishonoring' God in global warming decision - Washington THIS TWIT agrees with abortion. https://t.co/AlLSDQ3TOt,923909
-1,@NF_SNEweather is this a shot at global warming nuts?,468847
-1,@NancyPelosi Paris agreement is bs. so is man made climate change.,452879
-1,"@usatodayweather ...supports global warming always makes the news, frequently getting headlines. Evidence to the contrary is ignored.",123411
-1,if you believe in climate change then you are the biggest jackass in America' loool https://t.co/8V8YFzzti7,553499
-1,"C'mon,We need to focus on important things this election like non offensive Halloween costumes &amp; global wa...climate change' -actors #Trump",258590
-1,"Just because a group of scientists with a vested interest in man- made climate change say something, doesn't make it fact! Sad! #QandA",538765
-1,RT @USFreedomArmy: Nothing worse than climate change now is there. Enlist with us &amp; read the truth at https://t.co/oSPeY3QMpH. Act!! https:…,111139
-1,This is attributing to 'climate change'.  Government allow then charge you to cost toward CC. Is that the biggest f… https://t.co/0DJ8utGR1K,233706
-1,RT @jeffpearlman: But climate change is a hoax. Go back to watching the Kardashians. https://t.co/SWj7YVRHXj,211722
-1,@washingtonpost people are gonna get stuck driving over that global warming...,765542
-1,RT @ZehDuck: I just spilled orange juice on my shirt.  I can't decide on whether to blame the Russians or climate change. 🤔,449637
-1,Wow!! What a load of crap and no evidence again. Hitlary needs to go away. It’s climate change. lol https://t.co/oQK0VDxy5I,929756
-1,RT @BennyMoody24: Environmental scientists from New York planning to travel and speak on global warming are going to be snowed in during mi…,476242
-1,"As reported by the latest claims, the truth around the global warming is groundless. Argumentative generating that… https://t.co/41upxc600l",956651
-1,@SenSanders I'm in North Dakota in the oil boom. It's -25 and snowing. No sign of global warming up this way lol 😂,994419
-1,RT @777BABYG: climate change is a myth https://t.co/DN1IN0xiRu,532008
-1,@jarrodmyrick @CarlBeijer its 2 say that tho 4 selfishness ought imply global warming alarmism,865192
-1,"@SenSanders 1: even if climate change is true, how much control &amp; power must be amassed to centrally combat such a 'scourge?'",315089
-1,"climate change is real, but the cause are not humans. The cause may be outside our solar system.. other planets are heating also.. #planetx",253639
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,372548
-1,RT @theblaze: Watch: Bill Nye blows gasket when a real scientist schools him on facts about ‘climate change’…,24243
-1,Our scientists are working on settling mars and you still believe in climate change???,219965
-1,We do not have a climate change problem' . . We have a lying to the American voter problem . . . https://t.co/tLrfqn0fat,192850
-1,"RT @SteveSGoddard: It was very warm in the 1940's. This wrecked @NASA's fake global warming story, so they erased the prior warmth.…",746359
-1,"RT @Education4Libs: Facts: There are 2 genders, global warming is made up, the pay gap isn't real, women have equal rights, guns save lives…",952071
-1,@guardian climate change with mankind as the main culprit has always been a huge joke. Solar influence is a main player never gets mentioned,151664
